provinsi,tahun,indikator,nilai
Aceh,2014,Kasus Diare Dilayani,106791
Bali,2014,Kasus Diare Dilayani,51447
Banten,2014,Kasus Diare Dilayani,246077
Bengkulu,2014,Kasus Diare Dilayani,10653
DI Yogyakarta,2014,Kasus Diare Dilayani,0
DKI Jakarta,2014,Kasus Diare Dilayani,223579
Gorontalo,2014,Kasus Diare Dilayani,0
Jambi,2014,Kasus Diare Dilayani,64180
Jawa Barat,2014,Kasus Diare Dilayani,1068685
Jawa Tengah,2014,Kasus Diare Dilayani,393829
Jawa Timur,2014,Kasus Diare Dilayani,1015968
Kalimantan Barat,2014,Kasus Diare Dilayani,0
Kalimantan Selatan,2014,Kasus Diare Dilayani,96098
Kalimantan Tengah,2014,Kasus Diare Dilayani,32634
Kalimantan Timur,2014,Kasus Diare Dilayani,0
Kalimantan Utara,2014,Kasus Diare Dilayani,0
Kep. Bangka Belitung,2014,Kasus Diare Dilayani,8973
Kepulauan Riau,2014,Kasus Diare Dilayani,0
Lampung,2014,Kasus Diare Dilayani,98446
Maluku,2014,Kasus Diare Dilayani,0
Maluku Utara,2014,Kasus Diare Dilayani,0
Nusa Tenggara Barat,2014,Kasus Diare Dilayani,189168
Nusa Tenggara Timur,2014,Kasus Diare Dilayani,0
Papua,2014,Kasus Diare Dilayani,4245488
Papua Barat,2014,Kasus Diare Dilayani,0
Riau,2014,Kasus Diare Dilayani,125463
Sulawesi Barat,2014,Kasus Diare Dilayani,0
Sulawesi Selatan,2014,Kasus Diare Dilayani,0
Sulawesi Tengah,2014,Kasus Diare Dilayani,206494
Sulawesi Tenggara,2014,Kasus Diare Dilayani,25430
Sulawesi Utara,2014,Kasus Diare Dilayani,0
Sumatera Barat,2014,Kasus Diare Dilayani,111804
Sumatera Selatan,2014,Kasus Diare Dilayani,169769
Sumatera Utara,2014,Kasus Diare Dilayani,0
Aceh,2014,Kasus ISPA/Pneumonia,1369
Bali,2014,Kasus ISPA/Pneumonia,4712
Banten,2014,Kasus ISPA/Pneumonia,34853
Bengkulu,2014,Kasus ISPA/Pneumonia,1207
DI Yogyakarta,2014,Kasus ISPA/Pneumonia,2996
DKI Jakarta,2014,Kasus ISPA/Pneumonia,39864
Gorontalo,2014,Kasus ISPA/Pneumonia,1572
Jambi,2014,Kasus ISPA/Pneumonia,5499
Jawa Barat,2014,Kasus ISPA/Pneumonia,197654
Jawa Tengah,2014,Kasus ISPA/Pneumonia,99465
Jawa Timur,2014,Kasus ISPA/Pneumonia,106551
Kalimantan Barat,2014,Kasus ISPA/Pneumonia,2443
Kalimantan Selatan,2014,Kasus ISPA/Pneumonia,18820
Kalimantan Tengah,2014,Kasus ISPA/Pneumonia,416
Kalimantan Timur,2014,Kasus ISPA/Pneumonia,622
Kep. Bangka Belitung,2014,Kasus ISPA/Pneumonia,7666
Kepulauan Riau,2014,Kasus ISPA/Pneumonia,0
Lampung,2014,Kasus ISPA/Pneumonia,9812
Maluku,2014,Kasus ISPA/Pneumonia,760
Maluku Utara,2014,Kasus ISPA/Pneumonia,0
Nusa Tenggara Barat,2014,Kasus ISPA/Pneumonia,24178
Nusa Tenggara Timur,2014,Kasus ISPA/Pneumonia,0
Papua,2014,Kasus ISPA/Pneumonia,0
Papua Barat,2014,Kasus ISPA/Pneumonia,0
Riau,2014,Kasus ISPA/Pneumonia,10367
Sulawesi Barat,2014,Kasus ISPA/Pneumonia,243
Sulawesi Selatan,2014,Kasus ISPA/Pneumonia,4168
Sulawesi Tengah,2014,Kasus ISPA/Pneumonia,7923
Sulawesi Tenggara,2014,Kasus ISPA/Pneumonia,5081
Sulawesi Utara,2014,Kasus ISPA/Pneumonia,11208
Sumatera Barat,2014,Kasus ISPA/Pneumonia,13384
Sumatera Selatan,2014,Kasus ISPA/Pneumonia,17384
Sumatera Utara,2014,Kasus ISPA/Pneumonia,27273
Aceh,2014,Kasus Kusta Baru,583
Bali,2014,Kasus Kusta Baru,81
Banten,2014,Kasus Kusta Baru,823
Bengkulu,2014,Kasus Kusta Baru,21
DI Yogyakarta,2014,Kasus Kusta Baru,79
DKI Jakarta,2014,Kasus Kusta Baru,258
Gorontalo,2014,Kasus Kusta Baru,152
Jambi,2014,Kasus Kusta Baru,78
Jawa Barat,2014,Kasus Kusta Baru,1917
Jawa Tengah,2014,Kasus Kusta Baru,1860
Jawa Timur,2014,Kasus Kusta Baru,4116
Kalimantan Barat,2014,Kasus Kusta Baru,43
Kalimantan Selatan,2014,Kasus Kusta Baru,156
Kalimantan Tengah,2014,Kasus Kusta Baru,62
Kalimantan Timur,2014,Kasus Kusta Baru,154
Kepulauan Bangka Belitung,2014,Kasus Kusta Baru,54
Kepulauan Riau,2014,Kasus Kusta Baru,17
Lampung,2014,Kasus Kusta Baru,142
Maluku,2014,Kasus Kusta Baru,545
Maluku Utara,2014,Kasus Kusta Baru,544
Nusa Tenggara Barat,2014,Kasus Kusta Baru,281
Nusa Tenggara Timur,2014,Kasus Kusta Baru,378
Papua,2014,Kasus Kusta Baru,1061
Papua Barat,2014,Kasus Kusta Baru,633
Riau,2014,Kasus Kusta Baru,120
Sulawesi Barat,2014,Kasus Kusta Baru,199
Sulawesi Selatan,2014,Kasus Kusta Baru,1143
Sulawesi Tengah,2014,Kasus Kusta Baru,269
Sulawesi Tenggara,2014,Kasus Kusta Baru,268
Sulawesi Utara,2014,Kasus Kusta Baru,349
Sumatera Barat,2014,Kasus Kusta Baru,159
Sumatera Selatan,2014,Kasus Kusta Baru,304
Sumatera Utara,2014,Kasus Kusta Baru,176
Aceh,2014,Kasus Malaria Positif,778
Bali,2014,Kasus Malaria Positif,10
Banten,2014,Kasus Malaria Positif,46
Bengkulu,2014,Kasus Malaria Positif,3971
DI Yogyakarta,2014,Kasus Malaria Positif,86
DKI Jakarta,2014,Kasus Malaria Positif,32
Gorontalo,2014,Kasus Malaria Positif,949
Jambi,2014,Kasus Malaria Positif,2855
Jawa Barat,2014,Kasus Malaria Positif,282
Jawa Tengah,2014,Kasus Malaria Positif,1629
Jawa Timur,2014,Kasus Malaria Positif,315
Kalimantan Barat,2014,Kasus Malaria Positif,753
Kalimantan Selatan,2014,Kasus Malaria Positif,5303
Kalimantan Tengah,2014,Kasus Malaria Positif,3130
Kalimantan Timur,2014,Kasus Malaria Positif,1115
Kalimantan Utara,2014,Kasus Malaria Positif,57
Kep. Bangka Belitung,2014,Kasus Malaria Positif,1192
Kepulauan Riau,2014,Kasus Malaria Positif,836
Lampung,2014,Kasus Malaria Positif,4389
Maluku,2014,Kasus Malaria Positif,10249
Maluku Utara,2014,Kasus Malaria Positif,3790
Nusa Tenggara Barat,2014,Kasus Malaria Positif,3662
Nusa Tenggara Timur,2014,Kasus Malaria Positif,64953
Papua,2014,Kasus Malaria Positif,103095
Papua Barat,2014,Kasus Malaria Positif,18294
Riau,2014,Kasus Malaria Positif,845
Sulawesi Barat,2014,Kasus Malaria Positif,325
Sulawesi Selatan,2014,Kasus Malaria Positif,800
Sulawesi Tengah,2014,Kasus Malaria Positif,2282
Sulawesi Tenggara,2014,Kasus Malaria Positif,1124
Sulawesi Utara,2014,Kasus Malaria Positif,2244
Sumatera Barat,2014,Kasus Malaria Positif,908
Sumatera Selatan,2014,Kasus Malaria Positif,2371
Sumatera Utara,2014,Kasus Malaria Positif,9357
